MaterialID,Topic
5,http://dbpedia.org/resource/Treebank
5,http://dbpedia.org/resource/Cervical_vertebrae
5,http://dbpedia.org/resource/Decision_tree_learning
5,http://dbpedia.org/resource/Part-of-speech_tagging
5,http://dbpedia.org/resource/Support-vector_machine
5,http://dbpedia.org/resource/United_Kingdom
5,http://dbpedia.org/resource/Syntactic_Structures
5,http://dbpedia.org/resource/Parse_tree
5,http://dbpedia.org/resource/Constituent_(linguistics)
5,http://dbpedia.org/resource/Shallow_parsing
5,http://dbpedia.org/resource/Creative_Commons_license
5,http://dbpedia.org/resource/United_States
5,http://dbpedia.org/resource/Modular_arithmetic
5,http://dbpedia.org/resource/Insurance
5,http://dbpedia.org/resource/Nintendo
5,http://dbpedia.org/resource/Polypropylene
5,http://dbpedia.org/resource/Ketchup
5,http://dbpedia.org/resource/Bracketing
5,http://dbpedia.org/resource/Cat_food
5,http://dbpedia.org/resource/Denver
5,http://dbpedia.org/resource/Regular_expression
5,http://dbpedia.org/resource/Supervised_learning
5,http://dbpedia.org/resource/Bootstrapping
5,http://dbpedia.org/resource/Feature_engineering
5,http://dbpedia.org/resource/Scottish_Tartans_Society
5,http://dbpedia.org/resource/Finite-state_machine
5,http://dbpedia.org/resource/Graphics
5,http://dbpedia.org/resource/Application_programming_interface
5,http://dbpedia.org/resource/Knowledge_base
5,http://dbpedia.org/resource/Wikidata
5,http://dbpedia.org/resource/Caribbean_Series
5,http://dbpedia.org/resource/Fantasy
5,http://dbpedia.org/resource/Catholic_Church
5,http://dbpedia.org/resource/Eastern_Orthodox_Church
5,http://dbpedia.org/resource/Instruction_pipelining
5,http://dbpedia.org/resource/Metadata
5,http://dbpedia.org/resource/Nucleotide_excision_repair
5,http://dbpedia.org/resource/Punct_(magazine)
5,http://dbpedia.org/resource/Glutathione_S-transferase
5,http://dbpedia.org/resource/Value-added_tax
5,http://dbpedia.org/resource/Affinity_chromatography
5,http://dbpedia.org/resource/Wild_type
5,http://dbpedia.org/resource/Orange_S.A.
5,http://dbpedia.org/resource/Enzyme
5,http://dbpedia.org/resource/Organism
5,http://dbpedia.org/resource/Physical_quantity
5,http://dbpedia.org/resource/Escherichia_coli
5,http://dbpedia.org/resource/BRENDA
5,http://dbpedia.org/resource/Braunschweig
5,http://dbpedia.org/resource/Genus
5,http://dbpedia.org/resource/Aspergillus
5,http://dbpedia.org/resource/Research_and_development
5,http://dbpedia.org/resource/Information_security
5,"http://dbpedia.org/resource/Chapter_11,_Title_11,_United_States_Code"
5,http://dbpedia.org/resource/Information_extraction
5,http://dbpedia.org/resource/Daniel_Jurafsky
5,http://dbpedia.org/resource/Epistle_of_James
5,http://dbpedia.org/resource/Glenn_L._Martin_Company
5,http://dbpedia.org/resource/Conscription
5,http://dbpedia.org/resource/Cole_Howard
5,http://dbpedia.org/resource/Max_Fleischer
5,http://dbpedia.org/resource/James_Pustejovsky
5,http://dbpedia.org/resource/William_Stubbs
6,http://dbpedia.org/resource/Artificial_intelligence
6,http://dbpedia.org/resource/SPARQL
6,http://dbpedia.org/resource/RDF_Schema
6,http://dbpedia.org/resource/Resource_Description_Framework
6,http://dbpedia.org/resource/Main_Page
6,http://dbpedia.org/resource/DBpedia
6,http://dbpedia.org/resource/Knowledge_Graph
6,http://dbpedia.org/resource/Wikidata
6,http://dbpedia.org/resource/Uniform_Resource_Identifier
6,http://dbpedia.org/resource/SQL
6,http://dbpedia.org/resource/Montreal
6,http://dbpedia.org/resource/Uname
6,http://dbpedia.org/resource/Concordia_University
6,http://dbpedia.org/resource/Clause
6,http://dbpedia.org/resource/Yangtze
6,http://dbpedia.org/resource/Nile
7,http://dbpedia.org/resource/English_language
7,http://dbpedia.org/resource/Sport_Club_Internacional
7,http://dbpedia.org/resource/Canada
7,http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific
7,http://dbpedia.org/resource/This_Week_(American_TV_program)
7,http://dbpedia.org/resource/SPARQL
7,http://dbpedia.org/resource/Query_language
7,http://dbpedia.org/resource/Database_schema
7,http://dbpedia.org/resource/Moodle
7,http://dbpedia.org/resource/Public_Knowledge
7,http://dbpedia.org/resource/DBpedia
7,http://dbpedia.org/resource/Computer_data_storage
7,http://dbpedia.org/resource/Graph_database
7,http://dbpedia.org/resource/Berlin
7,http://dbpedia.org/resource/RDF_Schema
7,http://dbpedia.org/resource/Association_football
7,http://dbpedia.org/resource/Siri
7,http://dbpedia.org/resource/Amazon_Alexa
7,http://dbpedia.org/resource/City
7,http://dbpedia.org/resource/Main_Page
7,http://dbpedia.org/resource/Alma_Mahler
7,http://dbpedia.org/resource/SQL
7,http://dbpedia.org/resource/Open_source
7,http://dbpedia.org/resource/Apache_HTTP_Server
7,http://dbpedia.org/resource/Fuseki
7,http://dbpedia.org/resource/Web_server
7,http://dbpedia.org/resource/Binary_distribution
7,http://dbpedia.org/resource/Executable
7,http://dbpedia.org/resource/Jaguar_XF
7,http://dbpedia.org/resource/Chmod
7,http://dbpedia.org/resource/Java_Development_Kit
7,http://dbpedia.org/resource/Jena
7,http://dbpedia.org/resource/FOAF_(ontology)
7,http://dbpedia.org/resource/Go_(game)
7,http://dbpedia.org/resource/Monty_Python
7,http://dbpedia.org/resource/Smart_device
7,http://dbpedia.org/resource/FAQ
7,http://dbpedia.org/resource/Group_Selection_(book)
7,http://dbpedia.org/resource/Test_cricket
7,http://dbpedia.org/resource/Contact_(1997_American_film)
7,http://dbpedia.org/resource/Proxemics
7,http://dbpedia.org/resource/Conscription
7,http://dbpedia.org/resource/General_officer
8,http://dbpedia.org/resource/Web_Ontology_Language
8,http://dbpedia.org/resource/SPARQL
8,http://dbpedia.org/resource/Reading
